what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821773375
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366821783044
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366821783081
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366821785732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821806502
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821806705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821808768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821808826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821818797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821818838
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821820589
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821820644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821826775
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821826814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821828457
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821828511
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1366821844108
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1366821846358
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821855792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821855832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821857850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821857902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821867044
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821867084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821868837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1366821868891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821882379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821894627
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366821895592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822015093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822021484
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822023963
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822039077
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1366822060908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822060962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822063500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822138262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822143274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822193504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822194275
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822194882
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1366822195103
stopped,bundle,org.eclipse.mylyn.ide.ant,3.7.1.v20120425-0100,"org.eclipse.mylyn.ide.ant",1366822197349
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1366822197367
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.bugzilla.ui",1366822197367
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1366822197367
stopped,bundle,org.eclipse.mylyn.help.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.help.ui",1366822197445
stopped,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1366822197446
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.bugs",1366822197462
stopped,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1366822197463
